time,jogos_casa,jogos_fora,pontos_casa,pontos_fora,saldo_casa,saldo_fora,chutes_alvo_casa,chutes_alvo_fora,escanteios_casa,escanteios_fora,dif_pontos,dif_saldo,ganho_relativo,n_temporadas,amostra_suficiente,big_six
West Brom,76,76,1.118421052631579,0.7894736842105263,-0.4342105263157895,-0.7236842105263158,3.3815789473684212,2.6052631578947367,5.105263157894737,3.6710526315789473,0.32894736842105265,0.2894736842105263,0.14880952380952384,4,True,False
Luton,19,19,0.8421052631578947,0.5263157894736842,-0.47368421052631576,-1.263157894736842,4.421052631578948,3.0,6.631578947368421,4.105263157894737,0.3157894736842105,0.7894736842105263,0.1276595744680851,1,False,False
Cardiff,19,19,1.0526315789473684,0.7368421052631579,-0.8947368421052632,-0.9473684210526315,3.5789473684210527,3.0526315789473686,5.0,3.8421052631578947,0.3157894736842105,0.05263157894736836,0.13953488372093023,1,False,False
Huddersfield,38,38,0.8421052631578947,0.5526315789473685,-0.7894736842105263,-1.4210526315789473,2.9473684210526314,3.0789473684210527,4.921052631578948,3.6842105263157894,0.2894736842105262,0.631578947368421,0.11827956989247308,2,False,False
Nott'm Forest,76,76,1.3421052631578947,1.0657894736842106,0.09210526315789473,-0.6052631578947368,4.0131578947368425,3.723684210526316,4.302631578947368,4.052631578947368,0.27631578947368407,0.6973684210526315,0.1428571428571428,4,True,False
Chelsea,209,209,1.8468899521531101,1.5980861244019138,0.7655502392344498,0.27751196172248804,5.837320574162679,4.655502392344498,6.70334928229665,5.248803827751196,0.24880382775119636,0.4880382775119617,0.17747440273037554,11,True,True
Burnley,152,152,1.131578947368421,0.8947368421052632,-0.375,-0.7039473684210527,3.611842105263158,3.039473684210526,4.730263157894737,3.835526315789474,0.23684210526315785,0.32894736842105265,0.11249999999999999,8,True,False
Southampton,171,171,1.1228070175438596,0.9590643274853801,-0.3508771929824561,-0.695906432748538,4.368421052631579,3.9649122807017543,5.280701754385965,5.099415204678363,0.16374269005847952,0.3450292397660819,0.0802292263610315,9,True,False
Crystal Palace,209,209,1.263157894736842,1.1435406698564594,-0.05263157894736842,-0.41148325358851673,4.15311004784689,3.583732057416268,5.315789473684211,4.421052631578948,0.11961722488038262,0.3588516746411483,0.06443298969072157,11,True,False
Ipswich,19,19,0.3684210526315789,0.7894736842105263,-1.5789473684210527,-0.8421052631578947,3.5789473684210527,3.1052631578947367,4.105263157894737,3.526315789473684,-0.4210526315789474,-0.736842105263158,-0.19047619047619052,1,False,False
